START-OF-LOG: 2.0
 <ux0zx@mail.ru>
ARRL-SECTION: DX
CONTEST: CQ-WW-CW
CREATED-BY: AALog contest module v.1.0 beta
CALLSIGN: UX0ZX
CATEGORY: SINGLE-OP 20M LOW CW
CLAIMED-SCORE: 242700
OPERATORS: 
CLUB: 
NAME: NIK  PISMENYUK
SOAPBOX: NEXT  IN  2006 !  VERY  GOOD CONTEST !
QSO: 14000 CW 2005-11-27 0843 UX0ZX         599 16     PA0ATG        599 14     0
QSO: 14000 CW 2005-11-27 0844 UX0ZX         599 16     S58O          599 15     0
QSO: 14000 CW 2005-11-27 0845 UX0ZX         599 16     RX4YY         599 16     0
QSO: 14000 CW 2005-11-27 0845 UX0ZX         599 16     EA4IP         599 14     0
QSO: 14000 CW 2005-11-27 0847 UX0ZX         599 16     OH4TY         599 15     0
QSO: 14000 CW 2005-11-27 0848 UX0ZX         599 16     EA4BF         599 14     0
QSO: 14000 CW 2005-11-27 0848 UX0ZX         599 16     SM3JUR        599 14     0
QSO: 14000 CW 2005-11-27 0850 UX0ZX         599 16     HB9DAX/QRP    599 14     0
QSO: 14000 CW 2005-11-27 0851 UX0ZX         599 16     DL8UNF        599 14     0
QSO: 14000 CW 2005-11-27 0851 UX0ZX         599 16     OK1HEH        599 15     0
QSO: 14000 CW 2005-11-27 0852 UX0ZX         599 16     F5NXX         599 14     0
QSO: 14000 CW 2005-11-27 0853 UX0ZX         599 16     RV4LC         599 16     0
QSO: 14000 CW 2005-11-27 0853 UX0ZX         599 16     OH3GZ         599 15     0
QSO: 14000 CW 2005-11-27 0853 UX0ZX         599 16     F6ABI         599 14     0
QSO: 14000 CW 2005-11-27 0857 UX0ZX         599 16     SM3W          599 14     0
QSO: 14000 CW 2005-11-27 0859 UX0ZX         599 16     SM3AF         599 14     0
QSO: 14000 CW 2005-11-27 0901 UX0ZX         599 16     DL5KUR        599 14     0
QSO: 14000 CW 2005-11-27 0902 UX0ZX         599 16     RV9UP         599 18     0
QSO: 14000 CW 2005-11-27 0903 UX0ZX         599 16     ON6NR         599 14     0
QSO: 14000 CW 2005-11-27 0903 UX0ZX         599 16     DL6AG         599 14     0
QSO: 14000 CW 2005-11-27 0904 UX0ZX         599 16     OK1MKI        599 15     0
QSO: 14000 CW 2005-11-27 0905 UX0ZX         599 16     OK1GM         599 15     0
QSO: 14000 CW 2005-11-27 0905 UX0ZX         599 16     PA3EMN        599 14     0
QSO: 14000 CW 2005-11-27 0907 UX0ZX         599 16     S58RU         599 15     0
QSO: 14000 CW 2005-11-27 0907 UX0ZX         599 16     9A2VN         599 15     0
QSO: 14000 CW 2005-11-27 0908 UX0ZX         599 16     T94DI         599 15     0
QSO: 14000 CW 2005-11-27 0910 UX0ZX         599 16     EA3BOW        599 14     0
QSO: 14000 CW 2005-11-27 0910 UX0ZX         599 16     DL1NKS        599 14     0
QSO: 14000 CW 2005-11-27 0912 UX0ZX         599 16     F6FTB         599 14     0
QSO: 14000 CW 2005-11-27 0913 UX0ZX         599 16     UN4PD         599 17     0
QSO: 14000 CW 2005-11-27 0914 UX0ZX         599 16     IZ8CCW        599 15     0
QSO: 14000 CW 2005-11-27 0914 UX0ZX         599 16     DL5JRA        599 14     0
QSO: 14000 CW 2005-11-27 0926 UX0ZX         599 16     6W1RW         599 35     0
QSO: 14000 CW 2005-11-27 0928 UX0ZX         599 16     G3TXF         599 14     0
QSO: 14000 CW 2005-11-27 0930 UX0ZX         599 16     OK1AXB        599 15     0
QSO: 14000 CW 2005-11-27 0931 UX0ZX         599 16     UA3R          599 16     0
QSO: 14000 CW 2005-11-27 0933 UX0ZX         599 16     IK0YUT        599 15     0
QSO: 14000 CW 2005-11-27 0935 UX0ZX         599 16     HB9FMU        599 14     0
QSO: 14000 CW 2005-11-27 0936 UX0ZX         599 16     M/SP3CW       599 14     0
QSO: 14000 CW 2005-11-27 0939 UX0ZX         599 16     EA7AJR        599 14     0
QSO: 14000 CW 2005-11-27 0941 UX0ZX         599 16     PA2000N       599 14     0
QSO: 14000 CW 2005-11-27 0942 UX0ZX         599 16     EA5DWS        599 14     0
QSO: 14000 CW 2005-11-27 0946 UX0ZX         599 16     UA9BX         599 17     0
QSO: 14000 CW 2005-11-27 0947 UX0ZX         599 16     PA3AM         599 14     0
QSO: 14000 CW 2005-11-27 0948 UX0ZX         599 16     OO4CAS        599 14     0
QSO: 14000 CW 2005-11-27 0950 UX0ZX         599 16     OK1FCA        599 15     0
QSO: 14000 CW 2005-11-27 0952 UX0ZX         599 16     DK0IPA        599 14     0
QSO: 14000 CW 2005-11-27 0952 UX0ZX         599 16     DL8NBJ        599 14     0
QSO: 14000 CW 2005-11-27 0955 UX0ZX         599 16     UA9MQR        599 17     0
QSO: 14000 CW 2005-11-27 0957 UX0ZX         599 16     DL9CW         599 14     0
QSO: 14000 CW 2005-11-27 0958 UX0ZX         599 16     UA4PI         599 16     0
QSO: 14000 CW 2005-11-27 0958 UX0ZX         599 16     G3KKP         599 14     0
QSO: 14000 CW 2005-11-27 0959 UX0ZX         599 16     PA3GBI        599 14     0
QSO: 14000 CW 2005-11-27 1001 UX0ZX         599 16     RA9JG         599 17     0
QSO: 14000 CW 2005-11-27 1002 UX0ZX         599 16     F5RAB         599 14     0
QSO: 14000 CW 2005-11-27 1006 UX0ZX         599 16     MW5A          599 14     0
QSO: 14000 CW 2005-11-27 1006 UX0ZX         599 16     DJ4SN         599 14     0
QSO: 14000 CW 2005-11-27 1007 UX0ZX         599 16     OZ5DL         599 14     0
QSO: 14000 CW 2005-11-27 1009 UX0ZX         599 16     G6EFX         599 14     0
QSO: 14000 CW 2005-11-27 1011 UX0ZX         599 16     UA4AN         599 16     0
QSO: 14000 CW 2005-11-27 1012 UX0ZX         599 16     G4IIY         599 14     0
QSO: 14000 CW 2005-11-27 1015 UX0ZX         599 16     SM3EAE        599 14     0
QSO: 14000 CW 2005-11-27 1015 UX0ZX         599 16     PG7V          599 14     0
QSO: 14000 CW 2005-11-27 1020 UX0ZX         599 16     ES4RD         599 15     0
QSO: 14000 CW 2005-11-27 1021 UX0ZX         599 16     OH0E          599 15     0
QSO: 14000 CW 2005-11-27 1025 UX0ZX         599 16     HA8A          599 15     0
QSO: 14000 CW 2005-11-27 1026 UX0ZX         599 16     EX8A          599 17     0
QSO: 14000 CW 2005-11-27 1030 UX0ZX         599 16     GW3JXN        599 14     0
QSO: 14000 CW 2005-11-27 1031 UX0ZX         599 16     RV1AT         599 16     0
QSO: 14000 CW 2005-11-27 1033 UX0ZX         599 16     GM4SID        599 14     0
QSO: 14000 CW 2005-11-27 1036 UX0ZX         599 16     EA2LU         599 14     0
QSO: 14000 CW 2005-11-27 1041 UX0ZX         599 16     PJ4M          599 09     0
QSO: 14000 CW 2005-11-27 1046 UX0ZX         599 16     UA4NCI        599 16     0
QSO: 14000 CW 2005-11-27 1048 UX0ZX         599 16     OM3CGN        599 15     0
QSO: 14000 CW 2005-11-27 1050 UX0ZX         599 16     DL1REM        599 14     0
QSO: 14000 CW 2005-11-27 1104 UX0ZX         599 16     CT1DJE        599 14     0
QSO: 14000 CW 2005-11-27 1109 UX0ZX         599 16     JW1CCA        599 40     0
QSO: 14000 CW 2005-11-27 1115 UX0ZX         599 16     OK1EL         599 15     0
QSO: 14000 CW 2005-11-27 1116 UX0ZX         599 16     LA3S          599 14     0
QSO: 14000 CW 2005-11-27 1119 UX0ZX         599 16     VE6JY         599 05     0
QSO: 14000 CW 2005-11-27 1121 UX0ZX         599 16     IS0OMH        599 15     0
QSO: 14000 CW 2005-11-27 1125 UX0ZX         599 16     DL0KF         599 14     0
QSO: 14000 CW 2005-11-27 1125 UX0ZX         599 16     RA3NZ         599 16     0
QSO: 14000 CW 2005-11-27 1125 UX0ZX         599 16     EA1JO         599 14     0
QSO: 14000 CW 2005-11-27 1130 UX0ZX         599 16     IK0MIB        599 15     0
QSO: 14000 CW 2005-11-27 1133 UX0ZX         599 16     K1KI          599 05     0
QSO: 14000 CW 2005-11-27 1135 UX0ZX         599 16     K1JB          599 05     0
QSO: 14000 CW 2005-11-27 1142 UX0ZX         599 16     ZM1A          599 32     0
QSO: 14000 CW 2005-11-27 1145 UX0ZX         599 16     RF3A          599 16     0
QSO: 14000 CW 2005-11-27 1148 UX0ZX         599 16     VK6LW         599 29     0
QSO: 14000 CW 2005-11-27 1150 UX0ZX         599 16     EA5FV         599 14     0
QSO: 14000 CW 2005-11-27 1153 UX0ZX         599 16     WA1S          599 05     0
QSO: 14000 CW 2005-11-27 1153 UX0ZX         599 16     RA4PO         599 16     0
QSO: 14000 CW 2005-11-27 1156 UX0ZX         599 16     LV0N          599 13     0
QSO: 14000 CW 2005-11-27 1158 UX0ZX         599 16     K1TH          599 05     0
QSO: 14000 CW 2005-11-27 1200 UX0ZX         599 16     W1RZF         599 05     0
QSO: 14000 CW 2005-11-27 1202 UX0ZX         599 16     VK2GC         599 30     0
QSO: 14000 CW 2005-11-27 1213 UX0ZX         599 16     W2YK          599 05     0
QSO: 14000 CW 2005-11-27 1215 UX0ZX         599 16     UP0L          599 17     0
QSO: 14000 CW 2005-11-27 1216 UX0ZX         599 16     UA4LF         599 16     0
QSO: 14000 CW 2005-11-27 1217 UX0ZX         599 16     IK2NCF        599 15     0
QSO: 14000 CW 2005-11-27 1217 UX0ZX         599 16     KA2D          599 05     0
QSO: 14000 CW 2005-11-27 1218 UX0ZX         599 16     N2LBR         599 05     0
QSO: 14000 CW 2005-11-27 1219 UX0ZX         599 16     DF6QV         599 14     0
QSO: 14000 CW 2005-11-27 1219 UX0ZX         599 16     SP3JUN        599 15     0
QSO: 14000 CW 2005-11-27 1222 UX0ZX         599 16     DK4RL         599 14     0
QSO: 14000 CW 2005-11-27 1223 UX0ZX         599 16     W2EZB         599 05     0
QSO: 14000 CW 2005-11-27 1225 UX0ZX         599 16     PA3CUI        599 14     0
QSO: 14000 CW 2005-11-27 1226 UX0ZX         599 16     DK2TX         599 14     0
QSO: 14000 CW 2005-11-27 1228 UX0ZX         599 16     DJ2RG         599 14     0
QSO: 14000 CW 2005-11-27 1229 UX0ZX         599 16     DF6WE         599 14     0
QSO: 14000 CW 2005-11-27 1234 UX0ZX         599 16     NY4A          599 05     0
QSO: 14000 CW 2005-11-27 1234 UX0ZX         599 16     IK3UNA        599 15     0
QSO: 14000 CW 2005-11-27 1238 UX0ZX         599 16     VE1JF         599 05     0
QSO: 14000 CW 2005-11-27 1240 UX0ZX         599 16     K8AC          599 05     0
QSO: 14000 CW 2005-11-27 1246 UX0ZX         599 16     N2TU          599 05     0
QSO: 14000 CW 2005-11-27 1248 UX0ZX         599 16     EA2AYD        599 14     0
QSO: 14000 CW 2005-11-27 1248 UX0ZX         599 16     K3AU          599 05     0
QSO: 14000 CW 2005-11-27 1249 UX0ZX         599 16     W2YC          599 05     0
QSO: 14000 CW 2005-11-27 1253 UX0ZX         599 16     P43JB         599 09     0
QSO: 14000 CW 2005-11-27 1254 UX0ZX         599 16     OH3OJ         599 15     0
QSO: 14000 CW 2005-11-27 1257 UX0ZX         599 16     W3UM          599 05     0
QSO: 14000 CW 2005-11-27 1259 UX0ZX         599 16     VE3KZ         599 04     0
QSO: 14000 CW 2005-11-27 1302 UX0ZX         599 16     LY2TS         599 15     0
QSO: 14000 CW 2005-11-27 1303 UX0ZX         599 16     K2ONP         599 05     0
QSO: 14000 CW 2005-11-27 1305 UX0ZX         599 16     LY2IC         599 15     0
QSO: 14000 CW 2005-11-27 1306 UX0ZX         599 16     N2ED          599 05     0
QSO: 14000 CW 2005-11-27 1308 UX0ZX         599 16     K1VSJ         599 05     0
QSO: 14000 CW 2005-11-27 1309 UX0ZX         599 16     VE9HF         599 05     0
QSO: 14000 CW 2005-11-27 1310 UX0ZX         599 16     UN7AB         599 17     0
QSO: 14000 CW 2005-11-27 1314 UX0ZX         599 16     AA4S          599 05     0
QSO: 14000 CW 2005-11-27 1316 UX0ZX         599 16     W4BQF         599 05     0
QSO: 14000 CW 2005-11-27 1317 UX0ZX         599 16     N6AR          599 05     0
QSO: 14000 CW 2005-11-27 1318 UX0ZX         599 16     G6PZ          599 14     0
QSO: 14000 CW 2005-11-27 1319 UX0ZX         599 16     N3UM          599 05     0
QSO: 14000 CW 2005-11-27 1321 UX0ZX         599 16     W5KFT         599 04     0
QSO: 14000 CW 2005-11-27 1327 UX0ZX         599 16     K5KLA         599 04     0
QSO: 14000 CW 2005-11-27 1330 UX0ZX         599 16     OL2A          599 15     0
QSO: 14000 CW 2005-11-27 1332 UX0ZX         599 16     OK2PDT        599 15     0
QSO: 14000 CW 2005-11-27 1333 UX0ZX         599 16     HA80IARU      599 15     0
QSO: 14000 CW 2005-11-27 1334 UX0ZX         599 16     TM2T          599 14     0
QSO: 14000 CW 2005-11-27 1337 UX0ZX         599 16     G4BJM         599 14     0
QSO: 14000 CW 2005-11-27 1338 UX0ZX         599 16     K2VV          599 05     0
QSO: 14000 CW 2005-11-27 1340 UX0ZX         599 16     W4RX          599 05     0
QSO: 14000 CW 2005-11-27 1342 UX0ZX         599 16     SM7C          599 14     0
QSO: 14000 CW 2005-11-27 1343 UX0ZX         599 16     K5YA          599 04     0
QSO: 14000 CW 2005-11-27 1345 UX0ZX         599 16     WK4Y          599 05     0
QSO: 14000 CW 2005-11-27 1347 UX0ZX         599 16     N4XR          599 05     0
QSO: 14000 CW 2005-11-27 1349 UX0ZX         599 16     WP2Z          599 08     0
QSO: 14000 CW 2005-11-27 1350 UX0ZX         599 16     S57U          599 15     0
QSO: 14000 CW 2005-11-27 1353 UX0ZX         599 16     WN9O          599 04     0
QSO: 14000 CW 2005-11-27 1355 UX0ZX         599 16     F5RKL         599 14     0
QSO: 14000 CW 2005-11-27 1356 UX0ZX         599 16     W1NT          599 05     0
QSO: 14000 CW 2005-11-27 1357 UX0ZX         599 16     DL2ZAE        599 14     0
QSO: 14000 CW 2005-11-27 1400 UX0ZX         599 16     W9WI          599 04     0
QSO: 14000 CW 2005-11-27 1401 UX0ZX         599 16     WB8YJF        599 04     0
QSO: 14000 CW 2005-11-27 1404 UX0ZX         599 16     DL1DTC        599 14     0
QSO: 14000 CW 2005-11-27 1410 UX0ZX         599 16     N2IC          599 04     0
QSO: 14000 CW 2005-11-27 1412 UX0ZX         599 16     OY1CT         599 14     0
QSO: 14000 CW 2005-11-27 1414 UX0ZX         599 16     DM1TT         599 14     0
QSO: 14000 CW 2005-11-27 1418 UX0ZX         599 16     W9YYG         599 04     0
QSO: 14000 CW 2005-11-27 1421 UX0ZX         599 16     NE9P          599 04     0
QSO: 14000 CW 2005-11-27 1426 UX0ZX         599 16     K0RF          599 04     0
QSO: 14000 CW 2005-11-27 1429 UX0ZX         599 16     WX0B          599 04     0
QSO: 14000 CW 2005-11-27 1431 UX0ZX         599 16     8P5A          599 08     0
QSO: 14000 CW 2005-11-27 1436 UX0ZX         599 16     AA1K          599 05     0
QSO: 14000 CW 2005-11-27 1437 UX0ZX         599 16     W9XT          599 04     0
QSO: 14000 CW 2005-11-27 1439 UX0ZX         599 16     K0EU          599 04     0
QSO: 14000 CW 2005-11-27 1441 UX0ZX         599 16     MM0XAU        599 14     0
QSO: 14000 CW 2005-11-27 1446 UX0ZX         599 16     K2AAW         599 04     0
QSO: 14000 CW 2005-11-27 1453 UX0ZX         599 16     KK9K          599 04     0
QSO: 14000 CW 2005-11-27 1453 UX0ZX         599 16     K0SR          599 04     0
QSO: 14000 CW 2005-11-27 1458 UX0ZX         599 16     KT0R          599 04     0
QSO: 14000 CW 2005-11-27 1459 UX0ZX         599 16     K1HT          599 05     0
QSO: 14000 CW 2005-11-27 1500 UX0ZX         599 16     KV9Q          599 04     0
QSO: 14000 CW 2005-11-27 1504 UX0ZX         599 16     W5ZO          599 04     0
QSO: 14000 CW 2005-11-27 1506 UX0ZX         599 16     F2GL          599 14     0
QSO: 14000 CW 2005-11-27 1510 UX0ZX         599 16     N2RD          599 05     0
QSO: 14000 CW 2005-11-27 1514 UX0ZX         599 16     KJ9C          599 04     0
QSO: 14000 CW 2005-11-27 1518 UX0ZX         599 16     K8FX          599 04     0
QSO: 14000 CW 2005-11-27 1522 UX0ZX         599 16     K4IE          599 04     0
QSO: 14000 CW 2005-11-27 1531 UX0ZX         599 16     GM3YTS        599 14     0
QSO: 14000 CW 2005-11-27 1533 UX0ZX         599 16     AA4NN         599 05     0
QSO: 14000 CW 2005-11-27 1536 UX0ZX         599 16     K3TC          599 05     0
QSO: 14000 CW 2005-11-27 1538 UX0ZX         599 16     VE2HQ         599 05     0
QSO: 14000 CW 2005-11-27 1540 UX0ZX         599 16     W5WMU         599 04     0
QSO: 14000 CW 2005-11-27 1541 UX0ZX         599 16     N0IJ          599 04     0
QSO: 14000 CW 2005-11-27 1543 UX0ZX         599 16     K1BV          599 05     0
QSO: 14000 CW 2005-11-27 1545 UX0ZX         599 16     N4MO          599 05     0
QSO: 14000 CW 2005-11-27 1546 UX0ZX         599 16     K3DI          599 05     0
QSO: 14000 CW 2005-11-27 1548 UX0ZX         599 16     VO1MP         599 05     0
QSO: 14000 CW 2005-11-27 1557 UX0ZX         599 16     GI0KVQ        599 14     0
QSO: 14000 CW 2005-11-27 1559 UX0ZX         599 16     VP9I          599 05     0
QSO: 14000 CW 2005-11-27 1639 UX0ZX         599 16     RA3AJ         599 16     0
QSO: 14000 CW 2005-11-27 1641 UX0ZX         599 16     K0SN          599 04     0
QSO: 14000 CW 2005-11-27 1647 UX0ZX         599 16     W3RJ          599 05     0
QSO: 14000 CW 2005-11-27 1650 UX0ZX         599 16     W1UK          599 05     0
QSO: 14000 CW 2005-11-27 1659 UX0ZX         599 16     SM3JLA        599 14     0
QSO: 14000 CW 2005-11-27 1710 UX0ZX         599 16     K4XU          599 03     0
QSO: 14000 CW 2005-11-27 1716 UX0ZX         599 16     VE2WU         599 05     0
QSO: 14000 CW 2005-11-27 1719 UX0ZX         599 16     W3FV          599 05     0
QSO: 14000 CW 2005-11-27 1730 UX0ZX         599 16     W6NV          599 03     0
QSO: 14000 CW 2005-11-27 1731 UX0ZX         599 16     SN5N          599 15     0
QSO: 14000 CW 2005-11-27 1734 UX0ZX         599 16     W7VJ          599 03     0
QSO: 14000 CW 2005-11-27 1737 UX0ZX         599 16     SP4Z          599 15     0
QSO: 14000 CW 2005-11-27 1745 UX0ZX         599 16     VE7UF         599 03     0
QSO: 14000 CW 2005-11-27 1747 UX0ZX         599 16     NO2R          599 05     0
QSO: 14000 CW 2005-11-27 1749 UX0ZX         599 16     LY1CX         599 15     0
QSO: 14000 CW 2005-11-27 1750 UX0ZX         599 16     AD4EB         599 04     0
QSO: 14000 CW 2005-11-27 1814 UX0ZX         599 16     W1QK          599 05     0
QSO: 14000 CW 2005-11-27 1817 UX0ZX         599 16     KA2MGE        599 05     0
QSO: 14000 CW 2005-11-27 1817 UX0ZX         599 16     OL5Q          599 15     0
QSO: 14000 CW 2005-11-27 1818 UX0ZX         599 16     K4RO          599 04     0
QSO: 14000 CW 2005-11-27 1819 UX0ZX         599 16     K1TR          599 05     0
QSO: 14000 CW 2005-11-27 1825 UX0ZX         599 16     OH3JF         599 15     0
QSO: 14000 CW 2005-11-27 1840 UX0ZX         599 16     N8RA          599 05     0
QSO: 14000 CW 2005-11-27 1841 UX0ZX         599 16     K3PH          599 05     0
QSO: 14000 CW 2005-11-27 1843 UX0ZX         599 16     OK2FD         599 15     0
QSO: 14000 CW 2005-11-27 1849 UX0ZX         599 16     K2SG          599 05     0
QSO: 14000 CW 2005-11-27 1854 UX0ZX         599 16     WT3Q          599 05     0
QSO: 14000 CW 2005-11-27 1856 UX0ZX         599 16     NC2N          599 05     0
QSO: 14000 CW 2005-11-27 1903 UX0ZX         599 16     K2LNS         599 05     0
QSO: 14000 CW 2005-11-27 1908 UX0ZX         599 16     W2LE          599 05     0
QSO: 14000 CW 2005-11-27 1910 UX0ZX         599 16     W3DF          599 05     0
QSO: 14000 CW 2005-11-27 1917 UX0ZX         599 16     K4ZGB         599 04     0
QSO: 14000 CW 2005-11-27 1918 UX0ZX         599 16     VE3NE         599 04     0
QSO: 14000 CW 2005-11-27 1920 UX0ZX         599 16     EU4LY         599 16     0
QSO: 14000 CW 2005-11-27 1927 UX0ZX         599 16     W3IO          599 05     0
QSO: 14000 CW 2005-11-27 1931 UX0ZX         599 16     OM3RRC        599 15     0
QSO: 14000 CW 2005-11-27 1941 UX0ZX         599 16     W4MYA         599 05     0
QSO: 14000 CW 2005-11-27 1943 UX0ZX         599 16     OM6KW         599 15     0
END-OF-LOG:
